datetime,open,high,low,close,volume
2025-11-21 18:15:00,270.98,270.98,270.96,270.96,110
2025-11-21 18:16:00,270.98,271.06,270.8812,270.8812,214
2025-11-21 18:17:00,270.9199,271.49,270.9199,271.02,46712
2025-11-21 18:18:00,271.03,271.2,271.03,271.11,963
2025-11-21 18:19:00,271.11,271.14,271.11,271.14,318
2025-11-21 18:20:00,271.13,271.15,271.11,271.14,149
2025-11-21 18:21:00,271.15,271.15,271.11,271.1106,32
2025-11-21 18:22:00,271.1118,271.2,271.11,271.11,71
2025-11-21 18:23:00,271.11,271.1982,271.11,271.1317,5
2025-11-21 18:24:00,271.1982,271.1982,271.13,271.15,1020
2025-11-21 18:25:00,271.2,271.2,271.11,271.11,56
2025-11-21 18:26:00,271.11,271.2,271.11,271.12,195
2025-11-21 18:27:00,271.11,271.1977,271.11,271.11,70
2025-11-21 18:28:00,271.15,271.19,271.13,271.19,39
2025-11-21 18:29:00,271.14,271.2,271.1103,271.17,1307
2025-11-21 18:30:00,271.2,271.2,271.11,271.12,612
2025-11-21 18:31:00,271.19,271.19,271.1122,271.19,184
2025-11-21 18:33:00,271.13,271.18,271.112,271.112,521
2025-11-21 18:34:00,271.18,271.18,271.15,271.18,105
2025-11-21 18:35:00,271.15,271.19,271.11,271.1219,104
2025-11-21 18:36:00,271.12,271.19,271.11,271.19,231
2025-11-21 18:37:00,271.11,271.1792,271.11,271.1792,19
2025-11-21 18:38:00,271.19,271.19,271.1263,271.1263,25
2025-11-21 18:39:00,271.13,271.13,271.13,271.13,1
2025-11-21 18:40:00,271.11,271.19,271.11,271.19,28
2025-11-21 18:41:00,271.13,271.19,271.13,271.13,7
2025-11-21 18:42:00,271.111,271.13,271.11,271.13,37
2025-11-21 18:43:00,271.13,271.13,271.12,271.12,85
2025-11-21 18:44:00,271.1127,271.12,271.11,271.11,241
2025-11-21 18:45:00,271.1118,271.12,271.1118,271.12,15
2025-11-21 18:46:00,271.111,271.1122,271.11,271.1122,161
2025-11-21 18:47:00,271.115,271.13,271.11,271.13,70
2025-11-21 18:48:00,271.13,271.49,271.1136,271.1136,176908
2025-11-21 18:49:00,271.12,271.15,271.12,271.13,205
2025-11-21 18:50:00,271.13,271.13,271.13,271.13,17
2025-11-21 18:51:00,271.1299,271.2,271.11,271.11,478
2025-11-21 18:52:00,271.1122,271.1977,271.1101,271.1977,4
2025-11-21 18:53:00,271.15,271.2,271.15,271.2,34
2025-11-21 18:54:00,271.12,271.12,271.11,271.11,10
2025-11-21 18:55:00,271.16,271.16,271.11,271.11,106
2025-11-21 18:57:00,271.16,271.16,271.16,271.16,2
2025-11-21 18:58:00,271.18,271.2,271.14,271.14,46
2025-11-21 19:00:00,271.2,271.2,271.11,271.15,60
2025-11-21 19:01:00,271.11,271.15,271.11,271.15,12
2025-11-21 19:02:00,271.15,271.2,271.15,271.15,399
2025-11-21 19:03:00,271.1221,271.1221,271.1221,271.1221,3
2025-11-21 19:04:00,271.165,271.2,271.1221,271.1221,50
2025-11-21 19:05:00,271.19,271.19,271.19,271.19,30
2025-11-21 19:06:00,271.19,271.19,271.11,271.1582,404
2025-11-21 19:07:00,271.16,271.2,271.13,271.13,80
2025-11-21 19:08:00,271.1293,271.1293,271.1293,271.1293,10
2025-11-21 19:09:00,271.11,271.2,271.11,271.16,58
2025-11-21 19:10:00,271.15,271.1879,271.11,271.11,176
2025-11-21 19:11:00,271.1977,271.1977,271.13,271.17,106
2025-11-21 19:12:00,271.11,271.12,271.11,271.12,50
2025-11-21 19:13:00,271.11,271.2,271.11,271.1112,1409
2025-11-21 19:14:00,271.129,271.15,271.129,271.15,7
2025-11-21 19:16:00,271.2,271.2,271.11,271.1977,312
2025-11-21 19:17:00,271.11,271.11,271.11,271.11,11
2025-11-21 19:18:00,271.16,271.1977,271.11,271.11,169
2025-11-21 19:19:00,271.14,271.2,271.1145,271.2,1017
2025-11-21 19:20:00,271.15,271.2,271.11,271.2,35
2025-11-21 19:21:00,271.11,271.15,271.11,271.15,113
2025-11-21 19:22:00,271.1241,271.1338,271.11,271.11,37
2025-11-21 19:24:00,271.15,271.2,271.11,271.15,83
2025-11-21 19:25:00,271.14,271.15,271.14,271.15,14
2025-11-21 19:26:00,271.19,271.2,271.1299,271.1299,159
2025-11-21 19:27:00,271.2,271.2,271.11,271.2,106
2025-11-21 19:28:00,271.11,271.11,271.11,271.11,40
2025-11-21 19:29:00,271.15,271.15,271.11,271.11,76
2025-11-21 19:30:00,271.1122,271.2,271.1122,271.2,22
2025-11-21 19:31:00,271.1112,271.18,271.1112,271.1507,59
2025-11-21 19:32:00,271.1792,271.1792,271.1792,271.1792,2
2025-11-21 19:33:00,271.18,271.18,271.1799,271.18,218
2025-11-21 19:34:00,271.2,271.2,271.18,271.19,232
2025-11-21 19:35:00,271.2,271.2,271.18,271.18,994
2025-11-21 19:36:00,271.2,271.25,271.18,271.21,631
2025-11-21 19:37:00,271.18,271.22,271.18,271.22,310
2025-11-21 19:38:00,271.21,271.3,271.21,271.22,52
2025-11-21 19:39:00,271.22,271.3,271.18,271.18,482
2025-11-21 19:40:00,271.25,271.3,271.18,271.18,12
2025-11-21 19:41:00,271.2,271.27,271.18,271.1827,107
2025-11-21 19:42:00,271.201,271.29,271.1827,271.2625,1003
2025-11-21 19:43:00,271.18,271.22,271.18,271.22,3
2025-11-21 19:44:00,271.23,271.3,271.2229,271.2229,11
2025-11-21 19:45:00,271.18,271.3,271.18,271.18,785
2025-11-21 19:46:00,271.225,271.225,271.22,271.22,51
2025-11-21 19:47:00,271.2497,271.3457,271.18,271.3457,111
2025-11-21 19:48:00,271.22,271.35,271.18,271.35,13
2025-11-21 19:49:00,271.23,271.25,271.23,271.25,27
2025-11-21 19:50:00,271.24,271.3,271.24,271.25,82
2025-11-21 19:51:00,271.3,271.35,271.24,271.35,347
2025-11-21 19:52:00,271.3,271.35,271.3,271.31,1037
2025-11-21 19:53:00,271.35,271.35,271.2,271.29,1262
2025-11-21 19:54:00,271.2842,271.48,271.28,271.48,76
2025-11-21 19:55:00,271.35,271.48,271.35,271.38,314
2025-11-21 19:56:00,271.38,271.48,271.35,271.35,491
2025-11-21 19:57:00,271.38,271.39,271.35,271.38,774
2025-11-21 19:58:00,271.41,271.48,271.41,271.43,159
2025-11-21 19:59:00,271.43,271.48,271.35,271.35,494
