datetime,open,high,low,close,volume
2025-11-13 16:00:00,401.94,403.6,399.0074,400.49,13033088
2025-11-13 17:00:00,400.51,423.0,372.4386,400.97,427838
2025-11-13 18:00:00,400.96,403.0,400.96,402.21,333766
2025-11-13 19:00:00,402.239,402.3,400.2,400.43,264035
2025-11-14 04:00:00,393.07,395.99,389.0,390.4,779387
2025-11-14 05:00:00,390.33,392.68,389.5,391.31,290988
2025-11-14 06:00:00,391.35,391.39,385.6,387.81,831289
2025-11-14 07:00:00,387.85,388.48,381.07,383.36,1662743
2025-11-14 08:00:00,383.38,401.99,380.97,383.24,4488875
2025-11-14 09:00:00,383.24,401.99,382.43,398.085,19815385
2025-11-14 10:00:00,398.13,405.85,391.14,405.2899,21109305
2025-11-14 11:00:00,405.29,412.19,401.56,409.0695,16139144
2025-11-14 12:00:00,409.08,410.49,406.55,409.045,8400319
2025-11-14 13:00:00,409.05,410.59,404.53,407.2601,11042915
2025-11-14 14:00:00,407.265,410.43,405.3,409.65,7234318
2025-11-14 15:00:00,409.72,410.3,403.53,404.32,10443573
2025-11-14 16:00:00,404.41,423.4646,381.4454,403.8981,4665101
2025-11-14 17:00:00,403.9,429.83,376.3625,404.2,179384
2025-11-14 18:00:00,404.17,429.335,403.87,404.67,112173
2025-11-14 19:00:00,404.67,405.68,404.6,405.46,174952
2025-11-17 04:00:00,408.99,409.86,406.92,407.55,182856
2025-11-17 05:00:00,407.58,408.0,403.97,404.09,126071
2025-11-17 06:00:00,404.07,404.35,400.49,403.63,262801
2025-11-17 07:00:00,403.59,403.88,400.28,401.51,264061
2025-11-17 08:00:00,401.51,444.025,397.25,398.68,1477433
2025-11-17 09:00:00,398.63,416.85,397.4,416.6108,14941629
2025-11-17 10:00:00,416.65,417.94,411.05,416.6,17401264
2025-11-17 11:00:00,416.59,423.47,412.82,423.43,14172582
2025-11-17 12:00:00,423.43,423.96,413.64,413.7811,12176866
2025-11-17 13:00:00,413.72,415.0104,408.33,409.07,12879884
2025-11-17 14:00:00,409.09,409.96,405.55,405.9352,10557080
2025-11-17 15:00:00,405.88,409.8,404.81,408.91,12635001
2025-11-17 16:00:00,408.91,434.5977,387.1342,409.02,6607899
2025-11-17 17:00:00,409.02,452.03,408.55,409.425,154888
2025-11-17 18:00:00,409.5,411.905,409.4,411.42,316609
