datetime,open,high,low,close,volume
2025-11-18 18:00:00,490.6667,492.5531,490.2775,492.1938,13884
2025-11-18 18:30:00,492.0641,492.6629,492.0641,492.2487,9872
2025-11-18 19:00:00,492.2637,492.5432,490.5669,490.9163,6655
2025-11-18 19:30:00,491.2045,492.5432,490.8164,491.6149,9185
2025-11-19 04:00:00,491.6648,493.0622,491.066,492.0641,6913
2025-11-19 04:30:00,492.1389,493.3516,491.9443,493.2219,4872
2025-11-19 05:00:00,493.2318,493.5313,492.6729,493.2917,4981
2025-11-19 05:30:00,493.2618,493.4514,493.0422,493.0622,7142
2025-11-19 06:00:00,493.162,494.5094,493.0422,493.661,10388
2025-11-19 06:30:00,493.7409,493.7409,493.2219,493.3017,4662
2025-11-19 07:00:00,493.2119,493.3416,491.8644,492.6529,17648
2025-11-19 07:30:00,492.7328,493.2019,491.9942,492.2138,9309
2025-11-19 08:00:00,491.1358,494.5593,490.1963,492.0441,69095
2025-11-19 08:30:00,491.9992,507.3001,491.3055,491.3854,26753
2025-11-19 09:00:00,491.3754,491.8844,487.343,488.8801,90081
2025-11-19 09:30:00,489.1696,493.9305,488.0218,493.7309,2573878
2025-11-19 10:00:00,493.7908,494.2471,492.5232,493.7608,1286251
2025-11-19 10:30:00,493.7459,493.9106,486.9039,487.3231,1396322
2025-11-19 11:00:00,487.3031,488.8003,487.0037,488.2664,1041408
2025-11-19 11:30:00,488.1815,488.6805,486.6993,487.9219,752820
2025-11-19 12:00:00,487.892,488.2327,485.2021,486.4461,1234102
2025-11-19 12:30:00,486.4448,486.4747,483.2608,484.8328,1447626
2025-11-19 13:00:00,484.7979,486.4448,484.3088,485.278,915495
2025-11-19 13:30:00,485.2271,486.4448,484.3587,485.2645,1021518
2025-11-19 14:00:00,485.2645,485.3468,483.3607,483.4205,764585
2025-11-19 14:30:00,483.4005,484.738,481.9134,484.1691,1226322
2025-11-19 15:00:00,484.1691,486.9268,484.0393,486.6045,1064752
2025-11-19 15:30:00,486.5845,487.7024,484.8478,486.0545,2924078
2025-11-19 16:00:00,486.0755,492.8526,484.758,488.3212,8114524
2025-11-19 16:30:00,488.2214,498.6437,455.8229,488.7504,114328
2025-11-19 17:00:00,488.7903,496.2152,384.5585,489.2476,596475
2025-11-19 17:30:00,489.3592,490.0679,467.403,488.97,35359
2025-11-19 18:00:00,488.97,491.066,488.8202,490.4571,29837
2025-11-19 18:30:00,490.4671,490.9362,490.1477,490.9163,14476
2025-11-19 19:00:00,490.9262,493.3067,490.9163,493.142,32507
2025-11-19 19:30:00,493.142,493.2718,492.3636,492.7777,19302
2025-11-20 04:00:00,492.99,493.48,489.52,489.57,26304
2025-11-20 04:30:00,489.57,491.27,489.48,490.01,9933
2025-11-20 05:00:00,490.26,490.99,490.1,490.75,14498
2025-11-20 05:30:00,490.72,491.4,490.64,491.2,5965
2025-11-20 06:00:00,491.14,491.4,490.1,490.56,10637
2025-11-20 06:30:00,490.49,491.66,490.49,491.54,11066
2025-11-20 07:00:00,491.5,493.0,491.0,492.39,15807
2025-11-20 07:30:00,492.67,493.86,492.27,493.6,15886
2025-11-20 08:00:00,491.65,494.45,487.12,492.75,125460
2025-11-20 08:30:00,492.33,494.0,492.0,493.0259,97436
2025-11-20 09:00:00,492.77,493.94,491.75,492.71,91165
2025-11-20 09:30:00,492.71,493.28,489.8,492.93,3177784
2025-11-20 10:00:00,492.93,493.57,491.44,492.81,1399490
2025-11-20 10:30:00,492.82,493.11,490.52,490.72,1094203
2025-11-20 11:00:00,490.73,490.78,485.96,486.67,1611071
2025-11-20 11:30:00,486.6,487.2,482.22,482.415,1198777
2025-11-20 12:00:00,482.36,483.3029,480.31,481.77,1933323
2025-11-20 12:30:00,481.79,482.6134,479.19,480.445,1476556
2025-11-20 13:00:00,480.42,483.37,480.1,481.97,1046051
2025-11-20 13:30:00,481.9,482.35,478.28,479.25,1017175
2025-11-20 14:00:00,479.295,480.48,478.67,479.945,959032
2025-11-20 14:30:00,479.91,480.34,478.52,480.1924,1077833
2025-11-20 15:00:00,480.18,480.6,478.33,478.98,1346330
2025-11-20 15:30:00,478.99,479.43,475.5,478.26,3373625
2025-11-20 16:00:00,478.25,487.12,476.25,477.7,8134825
2025-11-20 16:30:00,477.68,478.43,477.0,477.17,1073363
2025-11-20 17:00:00,477.1,477.34,476.12,476.565,26832
2025-11-20 17:30:00,476.56,478.43,476.2012,476.66,28783
2025-11-20 18:00:00,476.66,478.43,475.69,476.88,44755
2025-11-20 18:30:00,476.775,478.43,444.4276,476.775,47265
2025-11-20 19:00:00,476.67,477.4,445.1959,477.4,17549
2025-11-20 19:30:00,477.41,480.109,449.0801,476.99,17764
2025-11-21 04:00:00,475.71,478.43,475.71,477.62,15597
2025-11-21 04:30:00,477.6,477.65,476.9,477.24,15048
2025-11-21 05:00:00,477.12,477.26,474.12,474.61,28035
2025-11-21 05:30:00,474.7,477.3,474.64,477.0,31622
2025-11-21 06:00:00,476.9,477.65,476.13,476.46,19462
2025-11-21 06:30:00,476.48,477.38,475.65,476.0,8432
2025-11-21 07:00:00,476.0,476.72,474.3,475.0,25917
2025-11-21 07:30:00,475.1,479.84,475.1,478.44,36538
2025-11-21 08:00:00,478.43,479.82,473.97,476.8,1387930
2025-11-21 08:30:00,476.74,478.44,476.74,478.43,47802
2025-11-21 09:00:00,478.365,479.5,476.5,478.51,60145
2025-11-21 09:30:00,478.5,478.92,473.0,474.305,4674941
2025-11-21 10:00:00,474.46,475.12,469.35,473.27,3405165
2025-11-21 10:30:00,473.28,474.08,470.57,470.6301,1863852
2025-11-21 11:00:00,470.63,471.125,468.27,471.045,1915857
2025-11-21 11:30:00,471.064,473.815,469.93,473.69,1277268
2025-11-21 12:00:00,473.69,475.78,472.95,474.25,1272657
2025-11-21 12:30:00,474.38,475.46,473.4001,473.795,863457
2025-11-21 13:00:00,473.82,474.01,471.0,472.82,880418
2025-11-21 13:30:00,472.82,476.7,472.61,474.64,1053552
2025-11-21 14:00:00,474.6,476.9,474.1849,476.57,813107
2025-11-21 14:30:00,476.63,476.82,474.15,474.7522,931274
2025-11-21 15:00:00,474.69,475.41,473.385,473.39,1330650
2025-11-21 15:30:00,473.39,474.19,470.7075,472.24,2960310
2025-11-21 16:00:00,472.24,478.43,471.37,471.99,11839810
2025-11-21 16:30:00,471.99,477.2111,451.8694,472.275,23078
2025-11-21 17:00:00,472.55,500.9224,446.2397,472.545,11903
2025-11-21 17:30:00,472.545,482.2891,448.9516,472.49,286825
2025-11-21 18:00:00,472.422,472.75,472.12,472.6892,14322
2025-11-21 18:30:00,472.675,473.9,472.12,472.9998,45520
2025-11-21 19:00:00,472.99,474.0,472.85,473.255,8543
2025-11-21 19:30:00,473.2027,473.99,473.2,473.5,5551
