datetime,open,high,low,close,volume
2025-11-20 11:00:00,423.66,424.14,419.49,419.6263,4702051
2025-11-20 11:15:00,419.635,421.39,417.12,418.3124,5014345
2025-11-20 11:30:00,418.31,419.11,413.62,414.29,4568389
2025-11-20 11:45:00,414.357,417.2,407.4101,408.76,4989843
2025-11-20 12:00:00,408.77,411.208,404.2301,406.07,4714885
2025-11-20 12:15:00,406.0,406.1899,401.56,404.195,5256482
2025-11-20 12:30:00,404.12,405.77,398.48,400.45,4373049
2025-11-20 12:45:00,400.46,405.3,399.55,404.115,3562759
2025-11-20 13:00:00,404.115,408.14,402.32,407.781,3689359
2025-11-20 13:15:00,407.9,408.16,403.4501,405.19,3079001
2025-11-20 13:30:00,405.19,405.8,401.1,401.7924,2296627
2025-11-20 13:45:00,401.8,402.25,397.59,399.7374,3204551
2025-11-20 14:00:00,399.7,400.33,397.39,399.9568,2487862
2025-11-20 14:15:00,399.925,403.15,398.92,402.36,2369640
2025-11-20 14:30:00,402.34,402.36,399.52,401.19,2333748
2025-11-20 14:45:00,401.12,404.5799,399.8,404.3884,2220113
2025-11-20 15:00:00,404.32,404.32,400.62,401.45,2120469
2025-11-20 15:15:00,401.4787,402.2999,398.04,399.74,2320792
2025-11-20 15:30:00,399.78,400.63,397.62,398.87,2694798
2025-11-20 15:45:00,398.83,399.65,394.74,395.08,5280684
2025-11-20 16:00:00,395.23,403.99,392.0,393.7,7168556
2025-11-20 16:15:00,395.23,395.23,391.521,393.41,221139
2025-11-20 16:30:00,393.42,395.23,392.2,392.6,148625
2025-11-20 16:45:00,392.6,395.23,392.5,392.976,1040979
2025-11-20 17:00:00,392.91,393.2,392.12,392.33,108283
2025-11-20 17:15:00,392.33,392.59,390.81,390.9999,131060
2025-11-20 17:30:00,390.99,395.23,390.22,392.1,175652
2025-11-20 17:45:00,392.18,393.8,391.82,393.625,121977
2025-11-20 18:00:00,393.65,395.29,392.66,394.01,239204
2025-11-20 18:15:00,394.17,399.0,393.78,398.3,200569
2025-11-20 18:30:00,398.28,398.75,369.2894,397.96,122063
2025-11-20 18:45:00,397.8,399.9587,373.1189,397.591,135016
2025-11-20 19:00:00,397.59,398.5,397.2,398.0,66950
2025-11-20 19:15:00,397.97,407.0123,397.8,398.3,60770
2025-11-20 19:30:00,398.3,399.9587,397.6,397.8,62677
2025-11-20 19:45:00,397.75,398.4,397.29,397.63,77724
2025-11-21 04:00:00,398.5,401.26,397.5,399.3,85416
2025-11-21 04:15:00,399.26,399.29,396.27,397.08,57780
2025-11-21 04:30:00,397.2,397.95,395.5,395.69,55120
2025-11-21 04:45:00,395.67,396.79,395.29,395.51,37701
2025-11-21 05:00:00,395.5,396.33,393.86,394.98,127922
2025-11-21 05:15:00,394.99,395.0,392.9,393.45,103163
2025-11-21 05:30:00,393.45,397.65,393.45,396.22,82425
2025-11-21 05:45:00,396.29,398.4,396.2,398.1,48848
2025-11-21 06:00:00,398.19,399.21,396.7,398.98,51827
2025-11-21 06:15:00,398.99,399.04,397.52,397.8,32483
2025-11-21 06:30:00,397.86,398.48,396.6,397.17,30790
2025-11-21 06:45:00,397.01,397.17,395.25,396.08,58719
2025-11-21 07:00:00,396.2,396.5,393.0,394.32,136885
2025-11-21 07:15:00,394.4,395.03,392.93,393.3,62301
2025-11-21 07:30:00,393.37,398.18,393.37,397.4,164492
2025-11-21 07:45:00,397.4,399.66,397.25,398.46,142568
2025-11-21 08:00:00,398.8988,401.2,392.9,400.32,1028697
2025-11-21 08:15:00,400.285,402.09,399.5,399.75,334628
2025-11-21 08:30:00,399.75,401.98,399.75,401.12,209292
2025-11-21 08:45:00,401.32,401.67,400.1,400.83,154486
2025-11-21 09:00:00,400.9,402.08,399.57,401.52,170310
2025-11-21 09:15:00,401.47,406.2,400.2,402.38,154517
2025-11-21 09:30:00,402.32,402.8,397.0,398.11,6523130
2025-11-21 09:45:00,398.01,401.85,394.74,395.1601,5849564
2025-11-21 10:00:00,395.18,398.37,393.17,394.67,4561205
2025-11-21 10:15:00,394.67,395.59,387.79,388.2063,5742959
2025-11-21 10:30:00,388.21,390.14,384.24,387.5231,5585134
2025-11-21 10:45:00,387.5851,390.2391,385.5109,385.83,3848394
2025-11-21 11:00:00,385.66,388.09,383.76,387.3,3231902
2025-11-21 11:15:00,387.335,391.51,385.03,391.3801,3212442
2025-11-21 11:30:00,391.46,394.51,389.7482,393.915,3978135
2025-11-21 11:45:00,393.915,399.4,393.22,398.79,4266242
2025-11-21 12:00:00,398.78,400.38,397.42,399.235,4099113
2025-11-21 12:15:00,399.235,401.21,397.87,400.39,3366913
2025-11-21 12:30:00,400.39,402.25,399.61,400.87,2534455
2025-11-21 12:45:00,400.865,401.2399,397.91,398.95,2639362
2025-11-21 13:00:00,398.98,399.55,394.8506,395.71,2741342
2025-11-21 13:15:00,395.685,399.6,393.1702,394.64,4063329
2025-11-21 13:30:00,394.64,398.33,394.38,398.185,2676780
2025-11-21 13:45:00,398.2,402.32,398.02,399.3485,3585224
2025-11-21 14:00:00,399.37,401.0838,398.74,400.6,2043362
2025-11-21 14:15:00,400.69,401.81,400.09,401.7,1941756
2025-11-21 14:30:00,401.74,402.02,398.09,398.47,2219943
2025-11-21 14:45:00,398.49,398.9,396.2,397.31,1900124
2025-11-21 15:00:00,397.275,398.65,396.67,397.9237,1766543
2025-11-21 15:15:00,397.9,398.78,395.71,395.7905,1969560
2025-11-21 15:30:00,395.76,397.6,394.65,395.018,2700908
2025-11-21 15:45:00,395.03,396.26,390.55,391.2,5272345
2025-11-21 16:00:00,391.2,395.23,389.57,391.17,6022631
2025-11-21 16:15:00,391.15,392.14,283.64,391.96,384541
2025-11-21 16:30:00,392.0,393.7,391.95,393.55,153045
2025-11-21 16:45:00,393.55,394.61,391.09,393.41,318739
2025-11-21 17:00:00,393.4,401.75,381.4454,392.85,62874
2025-11-21 17:15:00,392.83,394.0029,375.3725,393.25,42944
2025-11-21 17:30:00,393.25,396.7992,375.3725,393.5,35711
2025-11-21 17:45:00,393.47,393.65,393.0,393.3,29751
2025-11-21 18:00:00,393.3,393.43,392.97,393.3,32074
2025-11-21 18:15:00,393.3,393.5505,393.1,393.5505,29725
2025-11-21 18:30:00,393.55,394.2,393.55,394.14,30353
2025-11-21 18:45:00,394.15,394.55,391.09,393.96,57901
2025-11-21 19:00:00,393.98,394.26,393.72,394.01,21786
2025-11-21 19:15:00,394.07,394.07,393.12,393.47,47839
2025-11-21 19:30:00,393.42,393.7,393.3,393.3903,32983
2025-11-21 19:45:00,393.39,394.0,393.3,393.84,57625
