datetime,open,high,low,close,volume
2025-11-18 18:00:00,399.89,401.38,399.8006,401.1,133396
2025-11-18 18:30:00,401.08,401.48,399.9,400.0,78376
2025-11-18 19:00:00,400.3492,400.3492,398.25,398.69,107992
2025-11-18 19:30:00,398.51,399.4,398.25,398.3801,131454
2025-11-19 04:00:00,400.91,401.89,400.01,401.44,47642
2025-11-19 04:30:00,401.37,403.88,401.31,403.66,62731
2025-11-19 05:00:00,403.74,403.94,402.74,403.53,34748
2025-11-19 05:30:00,403.51,404.5,402.82,404.35,33015
2025-11-19 06:00:00,404.32,405.15,404.27,404.31,45390
2025-11-19 06:30:00,404.29,405.1,403.7,403.77,55935
2025-11-19 07:00:00,403.74,405.4,403.42,405.4,115333
2025-11-19 07:30:00,405.37,406.71,405.35,405.9,111909
2025-11-19 08:00:00,400.8,407.49,398.14,406.3,730354
2025-11-19 08:30:00,406.29,411.04,399.66,405.24,148688
2025-11-19 09:00:00,405.28,407.0,404.8,406.28,280407
2025-11-19 09:30:00,406.18,408.43,400.4016,408.205,9962754
2025-11-19 10:00:00,408.25,411.78,407.4201,410.965,8691251
2025-11-19 10:30:00,410.965,411.3,403.59,404.88,6693553
2025-11-19 11:00:00,404.88,409.29,403.91,408.9241,5958720
2025-11-19 11:30:00,408.925,409.4808,404.5601,405.87,4501296
2025-11-19 12:00:00,405.8801,406.07,401.58,403.0,4230342
2025-11-19 12:30:00,402.92,404.42,398.5,402.92,5347725
2025-11-19 13:00:00,402.905,403.85,400.1201,400.2351,2960046
2025-11-19 13:30:00,400.21,403.58,399.86,402.99,3035968
2025-11-19 14:00:00,402.97,403.29,400.43,400.725,2552651
2025-11-19 14:30:00,400.6926,403.83,400.17,402.1912,2983471
2025-11-19 15:00:00,402.18,406.01,401.2301,404.6065,3863871
2025-11-19 15:30:00,404.58,405.5399,401.72,404.09,4592335
2025-11-19 16:00:00,404.08,408.46,401.25,406.2,3926935
2025-11-19 16:30:00,406.21,408.75,393.0083,408.11,362830
2025-11-19 17:00:00,408.2,409.98,252.67,408.2,1424562
2025-11-19 17:30:00,408.21,408.38,406.75,407.56,188696
2025-11-19 18:00:00,407.85,410.2,407.55,409.36,251755
2025-11-19 18:30:00,409.25,411.29,409.25,410.95,195195
2025-11-19 19:00:00,411.0,411.4,410.69,410.89,114141
2025-11-19 19:30:00,410.85,411.2,409.75,410.5,98410
2025-11-20 04:00:00,412.2,413.0,410.66,410.79,95615
2025-11-20 04:30:00,410.69,411.11,409.0,409.77,61630
2025-11-20 05:00:00,409.84,410.64,409.04,409.82,41339
2025-11-20 05:30:00,409.845,411.76,409.82,411.47,52962
2025-11-20 06:00:00,411.44,411.47,410.31,410.82,41863
2025-11-20 06:30:00,410.83,411.28,410.29,410.44,35168
2025-11-20 07:00:00,410.53,413.17,410.44,412.5,148632
2025-11-20 07:30:00,412.51,413.23,412.5,413.09,93940
2025-11-20 08:00:00,411.9,413.89,403.99,413.15,713265
2025-11-20 08:30:00,413.15,414.78,406.43,412.93,394371
2025-11-20 09:00:00,412.9994,415.3,412.38,414.83,339228
2025-11-20 09:30:00,414.63,425.78,414.63,425.728,15370414
2025-11-20 10:00:00,425.78,428.1494,422.67,427.8082,10816478
2025-11-20 10:30:00,427.8688,428.94,423.47,423.63,7079789
2025-11-20 11:00:00,423.66,424.14,417.12,418.3124,9716396
2025-11-20 11:30:00,418.31,419.11,407.4101,408.76,9558232
2025-11-20 12:00:00,408.77,411.208,401.56,404.195,9971367
2025-11-20 12:30:00,404.12,405.77,398.48,404.115,7935808
2025-11-20 13:00:00,404.115,408.16,402.32,405.19,6768360
2025-11-20 13:30:00,405.19,405.8,397.59,399.7374,5501178
2025-11-20 14:00:00,399.7,403.15,397.39,402.36,4857502
2025-11-20 14:30:00,402.34,404.5799,399.52,404.3884,4553861
2025-11-20 15:00:00,404.32,404.32,398.04,399.74,4441261
2025-11-20 15:30:00,399.78,400.63,394.74,395.08,7975482
