datetime,open,high,low,close,volume
2025-11-13 16:00:00,273.05,273.7,272.9,273.1,18762961
2025-11-13 17:00:00,273.09,277.6412,272.95,272.95,1077850
2025-11-13 18:00:00,273.02,273.69,273.0,273.09,23490
2025-11-13 19:00:00,273.09,273.5,273.0,273.4914,25762
2025-11-14 04:00:00,273.25,273.52,272.44,272.69,38777
2025-11-14 05:00:00,272.57,273.16,272.03,272.41,27219
2025-11-14 06:00:00,272.4,272.43,271.59,272.27,67939
2025-11-14 07:00:00,272.25,273.0,270.67,271.46,180712
2025-11-14 08:00:00,271.42,274.69,270.55,271.26,388224
2025-11-14 09:00:00,271.33,273.0817,269.6,273.0,10007729
2025-11-14 10:00:00,273.0,274.53,271.0,274.2455,6027519
2025-11-14 11:00:00,274.259,274.9499,273.5273,274.83,5769618
2025-11-14 12:00:00,274.8,275.96,274.56,275.13,4194906
2025-11-14 13:00:00,275.12,275.12,273.84,274.18,2693146
2025-11-14 14:00:00,274.1668,274.42,273.8,274.02,2095565
2025-11-14 15:00:00,274.02,274.24,272.17,272.6,6142415
2025-11-14 16:00:00,272.41,272.95,258.02,272.49,15410614
2025-11-14 17:00:00,272.4701,278.125,253.7792,272.45,44783
2025-11-14 18:00:00,272.4508,272.6,272.45,272.53,15690
2025-11-14 19:00:00,272.5755,272.88,272.5,272.8275,22245
2025-11-17 04:00:00,272.75,272.89,271.51,271.56,55403
2025-11-17 05:00:00,271.63,271.7,271.03,271.17,25251
2025-11-17 06:00:00,271.2,271.77,270.17,270.44,49121
2025-11-17 07:00:00,270.48,270.52,269.3,269.9,78073
2025-11-17 08:00:00,272.5,273.02,268.87,269.7,1832032
2025-11-17 09:00:00,269.7,270.49,267.0,270.04,6844594
2025-11-17 10:00:00,270.01,270.32,267.76,268.0,4611518
2025-11-17 11:00:00,268.0,269.55,266.65,269.52,4036019
2025-11-17 12:00:00,269.51,269.52,267.87,267.885,2440099
2025-11-17 13:00:00,267.93,268.35,267.17,267.28,2421128
2025-11-17 14:00:00,267.27,267.505,265.844,265.86,3119036
2025-11-17 15:00:00,265.84,267.59,265.73,267.46,7344515
2025-11-17 16:00:00,267.46,283.0672,256.9307,267.75,20249601
2025-11-17 17:00:00,267.75,273.2141,256.9307,267.37,20559
2025-11-17 18:00:00,267.38,268.0,267.22,267.6701,29831
2025-11-17 19:00:00,267.7,267.96,267.02,267.69,49545
2025-11-18 04:00:00,267.38,268.8,266.37,268.25,44742
2025-11-18 05:00:00,268.29,269.75,268.14,269.32,46747
2025-11-18 06:00:00,269.3,269.59,268.76,269.1,19707
2025-11-18 07:00:00,269.04,269.11,267.85,268.13,52294
2025-11-18 08:00:00,268.0,269.8,266.1,268.31,298844
2025-11-18 09:00:00,268.31,270.71,266.45,266.73,6231157
2025-11-18 10:00:00,266.725,268.13,265.32,266.55,6456607
2025-11-18 11:00:00,266.55,268.338,266.028,267.7,4597838
2025-11-18 12:00:00,267.7,268.79,266.43,268.56,3624880
2025-11-18 13:00:00,268.5786,269.22,268.02,268.27,2782747
2025-11-18 14:00:00,268.27,268.8,267.68,268.795,2821161
